id,Date,number of bedrooms,number of bathrooms,living area,lot area,number of floors,waterfront present,number of views,condition of the house,Price
6762810145,42491,5,2.5,3650,9050,2,0,4,5,2380000
6762810635,42491,4,2.5,2920,4000,1.5,0,0,5,1400000
6762810998,42491,5,2.75,2910,9480,1.5,0,0,3,1200000
6762812605,42491,4,2.5,3310,42998,2,0,0,3,838000
6762812919,42491,3,2,2710,4500,1.5,0,0,4,805000
6762813105,42491,3,2.5,2600,4750,1,0,0,4,790000
6762813157,42491,5,3.25,3660,11995,2,0,2,3,785000
6762813599,42491,3,1.75,2240,10578,2,0,0,5,750000
6762813600,42491,3,2.5,2390,6550,1,0,2,4,750000
6762814461,42491,4,2.25,2200,11250,1.5,0,0,5,698000
6762814787,42491,5,2.5,2820,67518,2,0,0,3,675000
6762815225,42491,4,2,1820,5000,1.5,0,1,3,650000
6762815461,42491,4,2,1520,6200,1.5,0,0,3,640000
6762815654,42491,4,2.75,2710,37277,2,0,0,3,630000
6762815737,42491,3,2.25,1750,1572,2.5,0,0,3,626000
6762815748,42491,4,2.5,2820,8408,2,0,0,3,625000
6762815749,42491,4,3.25,2730,54014,1,0,0,3,625000
6762815986,42491,3,1.75,2360,7291,1,0,0,4,615000
6762816059,42491,4,2.5,2730,12261,2,0,0,3,612500
6762816236,42491,3,2.5,3240,33151,2,0,2,3,604000
6762816633,42491,3,1.75,2330,14892,1,0,0,3,588500
6762817449,42491,4,2.5,3310,6500,2,0,0,3,555000
6762817570,42491,4,2.5,1940,10500,1,0,0,4,550000
6762817571,42491,3,1.75,2910,35200,1.5,0,0,3,550000
6762819227,42491,4,2.5,2860,3345,2,0,0,3,499950
6762819342,42491,4,1.75,1600,6380,1,0,0,3,495000
6762819448,42491,4,1.75,2190,125452,1,0,2,3,491500
6762819463,42491,2,1,880,6380,1,0,0,3,490000
6762819732,42491,4,2.5,2710,35868,2,0,0,3,482000
6762820114,42491,5,2.5,2210,9655,1,0,0,3,470000
6762820382,42491,3,1.75,1710,7320,1,0,0,3,463000
6762820510,42491,3,2.5,2680,5539,2,0,0,3,459990
6762820718,42491,3,2.5,2430,88426,1,0,0,4,452500
6762821047,42491,3,2.5,1270,1180,3,0,0,3,445700
6762821205,42491,4,2.25,2160,8119,1,0,0,3,440000
6762821206,42491,2,1,800,4850,1,0,0,4,440000
6762821318,42491,3,2.5,1770,2875,2,0,0,3,439950
6762821390,42491,3,2.25,1970,35100,2,0,0,4,437500
6762821424,42491,3,2.5,1770,1235,3,0,0,3,436110
6762821444,42491,4,1,1450,8800,1,0,0,4,435000
6762821632,42491,4,1.5,1920,10000,1,0,0,4,430000
6762822054,42491,3,2.25,2000,8030,1,0,0,4,420000
6762822175,42491,3,1.5,1570,6700,1,0,0,4,419000
6762822578,42491,3,2.5,1930,10460,2,0,0,3,407500
6762822721,42491,3,2,1960,13100,1,0,2,5,403000
6762822791,42491,4,2.5,3630,42884,1.5,0,0,3,400000
6762823455,42491,3,3.25,1320,1327,2,0,0,3,385000
6762823582,42491,4,1.75,1560,8700,1,0,0,4,382500
6762824201,42491,4,3,3110,7231,2,0,0,3,367500
6762824245,42491,3,1,1090,6435,1,0,0,4,365000
6762825272,42491,3,2,1930,11947,1,0,0,4,342000
6762825549,42491,2,2,1350,2560,1,0,0,3,335000
6762825550,42491,3,2.25,1580,16215,1,0,0,4,335000
6762826461,42491,3,1,1160,9180,1,0,0,3,315000
6762826606,42491,3,1.5,1340,7912,1.5,0,0,3,313000
6762826811,42491,2,1,850,6174,1,0,0,4,308500
6762827056,42491,3,2.5,2540,5050,2,0,0,3,300000
6762827347,42491,2,2.5,1630,1368,2,0,0,3,295000
6762827693,42491,3,3,1850,19966,1,0,0,4,287200
6762827749,42491,4,2.5,2200,9397,2,0,0,3,285000
